Job	Age	f_medincome	f_numprofiles	m_medincome	m_numprofiles	
science / tech / engineering	48			100000	18	
science / tech / engineering	49	100000	5	80000	22	
science / tech / engineering	50	80000	9	100000	26	
science / tech / engineering	51			125000	15	
science / tech / engineering	52	100000	4	100000	17	
science / tech / engineering	53			150000	6	
science / tech / engineering	54	250000	3	80000	14	
science / tech / engineering	55			100000	8	
science / tech / engineering	56			80000	15	
science / tech / engineering	57	50000	4	90000	16	
science / tech / engineering	58			115000	6	
science / tech / engineering	59			100000	6	
science / tech / engineering	60			200000	6	
science / tech / engineering	63	40000	3	80000	4	
science / tech / engineering	64			50000	3	
science / tech / engineering	65			100000	3	
science / tech / engineering	66			250000	3	
science / tech / engineering	67			100000	3	
student	18	20000	77	20000	58	
student	19	20000	137	20000	149	
student	20	20000	172	20000	217	
student	21	20000	224	20000	238	
student	22	20000	225	20000	285	
student	23	20000	194	20000	281	
student	24	20000	182	20000	258	
student	25	20000	170	20000	223	
student	26	20000	144	20000	204	
student	27	20000	121	20000	192	
student	28	20000	96	20000	138	
student	29	20000	88	20000	106	
student	30	20000	67	20000	106	
student	31	30000	51	20000	62	
student	32	20000	44	20000	39	
student	33	20000	29	20000	37	
student	34	30000	24	20000	33	
student	35			25000	16	
student	36			20000	18	
student	37			20000	14	
student	39	20000	9	20000	6	
student	40	20000	12	20000	7	
student	41	80000	12	20000	4	
student	43	35000	3	20000	4	
student	45			20000	7	
student	46			20000	6	
student	48	20000	3	30000	2	
student	49	30000	2	20000	1	
student	50	20000	5	20000	1	
student	54	50000	2			
student	56			20000	3	
transportation	19			20000	1	
transportation	21			20000	5	
transportation	22			20000	6	
transportation	23	30000	3	40000	12	
transportation	24			30000	8	
transportation	25			45000	12	
transportation	26	50000	4	30000	18	
transportation	27			70000	16	
transportation	28	70000	5	40000	17	
transportation	29			55000	11	
transportation	30			60000	18	
transportation	31			50000	13	
transportation	32			30000	15	
transportation	33			60000	14	
transportation	35			80000	11	
transportation	36			100000	8	
transportation	37			50000	7	
transportation	38			35000	7	
transportation	39	30000	3	25000	4	
transportation	40	40000	1	50000	7	
transportation	41	70000	3	40000	8	
transportation	42	40000	2			
transportation	43	20000	1	95000	7	
transportation	44			75000	7	
transportation	45	20000	1	50000	7	
transportation	46			20000	8	
transportation	47	50000	2	60000	2	
transportation	48			70000	4	
transportation	49			70000	4	
transportation	50			65000	3	
transportation	51			40000	4	
transportation	52	80000	1			
transportation	53			65000	6	
transportation	54			40000	2	
transportation	55			35000	3	
transportation	56			80000	5	
transportation	57			80000	3	
transportation	58			100000	1	
transportation	63			30000	3	
transportation	64			80000	1	
unemployed	18	20000	6	20000	6	
unemployed	19			40000	5	
unemployed	20	20000	6	20000	6	
unemployed	21	20000	6	20000	7	
unemployed	22	20000	3	20000	7	
unemployed	23	20000	15	20000	18	
unemployed	24			20000	13	
unemployed	25	20000	10	20000	10	
unemployed	26	20000	7	20000	6	
unemployed	27	20000	5	20000	13	
unemployed	28	20000	5	20000	11	
unemployed	29	20000	2			
unemployed	30	20000	1	20000	7	
unemployed	31	20000	3	20000	3	
unemployed	34	20000	7	20000	1	
unemployed	35	20000	5	20000	4	
unemployed	36			20000	3	
unemployed	37	20000	3			
unemployed	39	20000	2			
unemployed	41			20000	2	
unemployed	43			20000	6	
unemployed	45			20000	1	
unemployed	47			20000	1	
unemployed	49	20000	1			
unemployed	52			20000	1	
unemployed	54			20000	1	
unemployed	55			20000	1	
unemployed	56			20000	1	
unemployed	59	20000	1			
unemployed	63	20000	1			
unemployed	68			20000	1	
